"","LearningPlatformUsefulnessArxiv","LearningPlatformUsefulnessBlogs","LearningPlatformUsefulnessCollege","LearningPlatformUsefulnessCompany","LearningPlatformUsefulnessConferences","LearningPlatformUsefulnessFriends","LearningPlatformUsefulnessKaggle","LearningPlatformUsefulnessNewsletters","LearningPlatformUsefulnessCommunities","LearningPlatformUsefulnessDocumentation","LearningPlatformUsefulnessCourses","LearningPlatformUsefulnessProjects","LearningPlatformUsefulnessPodcasts","LearningPlatformUsefulnessSO","LearningPlatformUsefulnessTextbook","LearningPlatformUsefulnessTradeBook","LearningPlatformUsefulnessTutoring","LearningPlatformUsefulnessYouTube","CurrentJobTitleSelect","MLMethodNextYearSelect","WorkChallengeFrequencyPolitics","WorkChallengeFrequencyUnusedResults","WorkChallengeFrequencyUnusefulInstrumenting","WorkChallengeFrequencyDeployment","WorkChallengeFrequencyDirtyData","WorkChallengeFrequencyExplaining","WorkChallengeFrequencyPass","WorkChallengeFrequencyIntegration","WorkChallengeFrequencyTalent","WorkChallengeFrequencyDataFunds","WorkChallengeFrequencyDomainExpertise","WorkChallengeFrequencyML","WorkChallengeFrequencyTools","WorkChallengeFrequencyExpectations","WorkChallengeFrequencyITCoordination","WorkChallengeFrequencyHiringFunds","WorkChallengeFrequencyPrivacy","WorkChallengeFrequencyScaling","WorkChallengeFrequencyEnvironments","WorkChallengeFrequencyClarity","WorkChallengeFrequencyDataAccess","WorkChallengeFrequencyOtherSelect","WorkInternalVsExternalTools"
"13583",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful","Machine Learning Engineer","Deep learning","Most of the time",NA,NA,NA,NA,"Often",NA,NA,"Most of the time","Most of the time","Most of the time","Most of the time","Most of the time",NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"13584","Somewhat useful",NA,"Very useful",NA,"Somewhat useful","Very useful","Very useful",NA,NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,NA,NA,"Data Scientist","Random Forests","Often",NA,NA,"Often",NA,"Sometimes",NA,NA,"Sometimes","Sometimes","Often",NA,"Most of the time","Sometimes",NA,"Most of the time",NA,"Most of the time","Most of the time",NA,NA,NA,"Entirely external"
"13585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13586",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,"Somewhat useful","Software Developer/Software Engineer","Deep learning","Most of the time",NA,NA,NA,"Most of the time","Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Approximately half internal and half external"
"13587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Text Mining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13588",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Software Developer/Software Engineer","Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13589",NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful","Other","Decision Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13590",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Business Analyst","Deep learning","Often",NA,NA,NA,NA,"Most of the time",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,"More external than internal"
"13591",NA,"Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful","Not Useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful","Business Analyst","Regression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Sometimes",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA
"13593","Very useful","Somewhat useful","Very useful",NA,"Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful","Very useful",NA,"Somewhat useful","Very useful","Somewhat useful","Very useful","Somewhat useful","Scientist/Researcher","Anomaly Detection","Sometimes","Often","Often",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Sometimes",NA,NA,"Often","Most of the time",NA,"Entirely internal"
"13594",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Somewhat useful","Somewhat useful",NA,"Somewhat useful",NA,NA,"Somewhat useful","Statistician","Deep learning","Sometimes",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Approximately half internal and half external"
"13595",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful","Business Analyst","Proprietary Algorithms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13596","Very useful","Somewhat useful","Very useful",NA,NA,NA,"Very useful","Not Useful",NA,NA,NA,"Very useful",NA,"Somewhat useful","Very useful",NA,NA,NA,"Other","Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business Analyst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13598",NA,"Somewhat useful",NA,NA,"Not Useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,"Data Analyst","Deep learning","Often",NA,"Sometimes",NA,NA,"Rarely",NA,"Sometimes","Often",NA,NA,NA,"Often",NA,"Most of the time","Often",NA,NA,NA,NA,NA,NA,"Entirely internal"
"13599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Other","I don't plan on learning a new ML/DS method",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13600",NA,NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Other","Deep learning",NA,NA,NA,NA,"Often",NA,NA,NA,"Most of the time",NA,NA,NA,"Often",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Entirely internal"
"13601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data Scientist",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Sometimes","Often","Sometimes",NA,NA,NA,NA
"13602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13603","Very useful",NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Very useful","Very useful",NA,NA,NA,NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13606","Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,"Very useful","Very useful",NA,NA,NA,"Statistician","I don't plan on learning a new ML/DS method","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"13607","Somewhat useful","Very useful","Very useful",NA,NA,NA,"Very useful","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Somewhat useful","Very useful","Very useful",NA,NA,"Somewhat useful","Data Scientist","Deep learning","Most of the time","Often",NA,"Often",NA,"Often",NA,"Most of the time","Sometimes",NA,NA,"Most of the time",NA,"Most of the time",NA,NA,NA,"Often",NA,NA,"Most of the time",NA,"More internal than external"
"13608",NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13610",NA,"Very useful","Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,"Monte Carlo Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13612",NA,NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Programmer","Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Data Scientist","Link Analysis",NA,NA,NA,"Often",NA,"Often",NA,"Often","Often","Often","Often",NA,NA,"Often","Often",NA,NA,NA,"Often","Often",NA,NA,"More internal than external"
"13614","Somewhat useful",NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,"Somewhat useful",NA,"Very useful",NA,NA,"Very useful","Programmer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13617","Very useful","Very useful","Very useful",NA,"Somewhat useful","Very useful","Somewhat useful",NA,NA,"Somewhat useful",NA,"Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful","Data Scientist","Deep learning",NA,"Rarely",NA,NA,"Most of the time",NA,NA,"Rarely",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"More external than internal"
"13618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13619",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Somewhat useful","Predictive Modeler","Decision Trees","Sometimes",NA,NA,"Sometimes","Most of the time","Often",NA,"Sometimes","Often",NA,"Sometimes",NA,NA,NA,NA,"Often",NA,"Often",NA,NA,NA,NA,"More internal than external"
"13620",NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Researcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13622",NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Very useful","Somewhat useful",NA,NA,NA,"Data Analyst","Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13623",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Very useful","Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,"Data Scientist","Other",NA,"Most of the time",NA,NA,"Often",NA,NA,"Often",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"13624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Programmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13626","Very useful","Very useful",NA,NA,"Very useful",NA,NA,NA,"Somewhat useful","Very useful","Very useful","Very useful","Very useful","Somewhat useful",NA,NA,NA,"Somewhat useful","Data Scientist","Neural Nets","Most of the time",NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Often",NA,NA,NA,NA,NA,NA,"More internal than external"
"13627","Very useful","Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,"Machine Learning Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,"Often","Most of the time","Often",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"More internal than external"
"13628",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Deep learning",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know"
"13629","Very useful","Very useful",NA,NA,"Somewhat useful",NA,"Very useful","Very useful",NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,"Very useful","Data Scientist","Genetic & Evolutionary Algorithms",NA,"Sometimes",NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Often","Often",NA,"Often",NA,NA,NA,NA,"Sometimes","Sometimes",NA,"Entirely internal"
"13630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13631",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Data Analyst","Neural Nets","Most of the time","Sometimes",NA,"Rarely","Often","Often",NA,"Often",NA,NA,NA,NA,NA,NA,"Most of the time",NA,"Most of the time",NA,"Rarely",NA,"Often",NA,"Entirely internal"
"13632",NA,"Very useful",NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful",NA,NA,NA,"Data Scientist","Deep learning","Sometimes",NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Sometimes",NA,"More external than internal"
"13633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13634",NA,"Somewhat useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful",NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,"Somewhat useful","Business Analyst","Deep learning","Most of the time","Most of the time",NA,NA,"Often",NA,NA,NA,"Most of the time",NA,"Often",NA,NA,NA,"Most of the time",NA,NA,"Often",NA,NA,NA,NA,"Approximately half internal and half external"
"13635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13636","Very useful",NA,"Very useful",NA,"Somewhat useful","Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,"Software Developer/Software Engineer","Social Network Analysis",NA,NA,"Most of the time",NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,"Sometimes",NA,NA,"Entirely internal"
"13637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13638",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Very useful","Very useful","Very useful",NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13640","Somewhat useful","Somewhat useful","Very useful",NA,NA,"Very useful","Not Useful",NA,NA,"Very useful","Very useful","Very useful","Not Useful","Very useful","Somewhat useful",NA,NA,"Somewhat useful",NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13642",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Machine Learning Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Machine Learning Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Data Miner","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,"Entirely internal"
"13646","Somewhat useful",NA,NA,NA,"Not Useful","Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,"Somewhat useful","Not Useful",NA,NA,NA,NA,"Business Analyst","Bayesian Methods",NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Do not know"
"13647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13648",NA,"Somewhat useful","Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13649",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,"Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data Scientist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13652",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,"Very useful","Statistician","Time Series Analysis",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Often","Most of the time",NA,"Entirely internal"
"13653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13654",NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Very useful","Somewhat useful","Very useful","Very useful",NA,NA,NA,NA,"Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13656",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Very useful",NA,NA,NA,"Researcher","Monte Carlo Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13657","Very useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Business Analyst","Neural Nets","Sometimes",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approximately half internal and half external"
"13659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13660",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data Scientist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13661",NA,"Very useful",NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Somewhat useful","Very useful","Somewhat useful",NA,"Very useful","Somewhat useful",NA,NA,NA,"Researcher","Text Mining","Sometimes",NA,NA,NA,"Often",NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Often",NA,NA,"Often",NA,"Often",NA,"Entirely internal"
"13662","Very useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful","Somewhat useful","Very useful",NA,NA,"Very useful",NA,NA,"Somewhat useful","Data Analyst","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"More internal than external"
"13663",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer",NA,"Sometimes","Often",NA,NA,NA,"Sometimes",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know"
"13664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Scientist/Researcher","Deep learning",NA,"Sometimes",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approximately half internal and half external"
